Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI_14,MACD_line,MACD_signal,MACD_histogram,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,ATR_14
2023-12-13,464.489990234375,470.760009765625,464.1199951171875,470.5,464.2225341796875,93278000,,470.5,,0.0,0.0,0.0,470.5,,,6.6400146484375
2023-12-14,472.5,473.7300109863281,469.25,472.010009765625,465.71240234375,119026000,,470.64381045386904,100.0,0.12045661948008046,0.024091323896016092,0.09636529558406437,471.2550048828125,473.3904811726752,469.1195285929498,6.3520141601562505
2023-12-15,469.489990234375,470.7000122070313,467.4299926757813,469.3299865722656,464.9455871582031,141319300,,470.51868436990685,36.03813574752911,-0.0003322851779898883,0.019206602081214896,-0.019538887259204784,470.6133321126302,473.30053452782033,467.92612969744005,6.115747884114577
2023-12-18,470.9800109863281,472.9800109863281,469.8900146484375,471.9700012207031,467.5609436035156,70375300,,470.6569050223636,60.76128092508277,0.11563577897010191,0.0384924374589923,0.0771433415111096,470.95249938964844,473.53214838688336,468.3728503924135,5.7869847547743
2023-12-19,472.5299987792969,474.9200134277344,472.4500122070313,474.8399963378906,470.4041137695313,55761800,,471.0552946714614,72.37101660841086,0.43412164166556977,0.1176182783003078,0.31650336336526197,471.72999877929686,475.8629211993013,467.59707635929243,5.40872174840856
2023-12-20,473.9599914550781,475.8999938964844,467.8200073242188,468.260009765625,463.8856201171875,102921000,,470.78907706138176,43.12043549330414,0.15380113354922287,0.12485484935009082,0.028946284199132047,471.15166727701825,475.8091401991606,466.4941943548759,5.7648903915894945
2023-12-21,471.3299865722656,472.9800109863281,468.8399963378906,472.7000122070313,468.28411865234375,86667500,,470.97107088477696,55.308901633984156,0.2866123133018732,0.1572063421404473,0.1294059711614259,471.3728594098772,475.7826937098963,466.9630251098581,5.6255718354713125
2023-12-22,473.8599853515625,475.3800048828125,471.7000122070313,473.6499938964844,469.2252502441406,67126600,,471.22620640970143,57.26809401154513,0.4631824343372841,0.2184015605798147,0.24478087375746943,471.6575012207031,476.04626164555276,467.2687407958535,5.366161280845963
2023-12-26,474.0700073242188,476.5799865722656,473.989990234375,475.6499938964844,471.2065734863281,55387000,,471.64751950368077,60.87873040758414,0.7557865754980639,0.32587856356346456,0.4299080119345994,472.10111151801215,476.993760009373,467.2084630266513,5.041338800170669
2023-12-27,475.4400024414063,476.6600036621094,474.8900146484375,476.510009765625,472.0585632324219,68000300,,472.1106138143421,62.25031102264245,1.0450271363332035,0.4697082781174124,0.5753188582157911,472.54200134277346,477.9321389993151,467.1518636862318,4.605158828637497
