Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,MACD_line,MACD_signal,MACD_histogram,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,ATR_14
2023-12-13,371.5912780761719,374.3699951171875,377.6400146484375,370.7699890136719,376.0199890136719,30955500,,374.3699951171875,,0.0,0.0,0.0,374.3699951171875,,,6.870025634765625
2023-12-14,363.21392822265625,365.9299926757813,373.760009765625,364.1300048828125,373.30999755859375,43277500,,373.5661853608631,0.0,-0.6732765480323906,-0.13465530960647812,-0.5386212384259125,370.1499938964844,382.085959815583,358.21402797738574,7.319354248046875
2023-12-15,367.9783020019531,370.7300109863281,372.3999938964844,366.2799987792969,366.8500061035156,78478200,,373.29607351566926,36.25385790908807,-0.8101923082075473,-0.269762709326692,-0.5404295988808553,370.3433329264323,378.8098671038249,361.8767987490397,7.206107177734368
2023-12-18,369.8840637207031,372.6499938964844,373.0,368.6799926757813,369.4500122070313,21802900,,373.23454212336594,44.327174125287065,-0.7550685000336443,-0.3668238674680825,-0.38824463256556185,370.9199981689453,378.20757793285867,363.63241840503196,6.821293863932278
2023-12-19,370.4895324707031,373.260009765625,373.260009765625,369.8399963378906,371.489990234375,20603700,,373.2369676131049,46.48071028268877,-0.6546133274299564,-0.42438175946045725,-0.23023156796949912,371.38800048828125,378.0372213095223,364.7387796670402,6.367789805772558
2023-12-20,367.8691101074219,370.6199951171875,376.0299987792969,370.5299987792969,375.0,26316700,,372.9877321373033,39.8153366707555,-0.7790486105653258,-0.495315129681431,-0.28373348088389483,371.25999959309894,377.2402112552159,365.27978793098197,6.252084498336218
2023-12-21,370.7674255371094,373.5400085449219,374.4100036621094,370.0400085449219,372.55999755859375,17708000,,373.0403298904098,48.05441931602433,-0.6347270505750089,-0.5231975138601466,-0.11152953671486232,371.5857151576451,377.31048419648727,365.86094611880293,6.001139247516389
2023-12-22,371.7996826171875,374.5799865722656,375.1799926757813,372.7099914550781,373.6799926757813,17091100,,373.1869638601103,50.46935899517204,-0.4314600364289731,-0.5048500183739119,0.07338998194493873,371.95999908447266,377.6673589676656,366.2526392012797,5.530320843941295
2023-12-26,371.8791198730469,374.6600036621094,376.94000244140625,373.5,375.0,12673100,,373.32725336506263,50.645897534537816,-0.2609052000998986,-0.45606105471910924,0.19515585461921064,372.25999959309894,377.8940233078239,366.625975878374,5.25161172360329
2023-12-27,371.29351806640625,374.0700073242187,375.05999755859375,372.80999755859375,373.69000244140625,14905400,,373.39799183736324,49.34898592802937,-0.17137157237920064,-0.39912315825112754,0.2277515858719269,372.4410003662109,377.8747615609885,367.00723917143335,4.851396827122851
2023-12-28,372.4945373535156,375.2799987792969,376.4599914550781,374.1600036621094,375.3699951171875,14327000,,373.57723059373785,51.876293849299984,-0.0027476559835122316,-0.3198480577976045,0.31710040181409227,372.69909113103694,378.13085527694534,367.26732698512853,4.523208467621062
2023-12-29,373.2489013671875,376.0400085449219,377.1600036621094,373.4800109863281,376.0,18723000,,373.811780874803,53.338686001349544,0.19002397099723112,-0.2178736520386374,0.4078976230358685,372.97750091552734,378.50402339308584,367.45097843796884,4.410779695375754
2024-01-02,368.11724853515625,370.8699951171875,375.8999938964844,366.7699890136719,373.8599853515625,25258600,,373.53161080264914,44.20146823872025,-0.073532366441043,-0.18900539491911852,0.11547302847807553,372.8153850848858,378.23423059686513,367.3965395729065,5.058678340158987
2024-01-03,367.8492431640625,370.6000061035156,373.260009765625,368.510009765625,369.010009765625,23083500,,373.2524103551126,43.8095505353347,-0.3007219838557944,-0.21134871270645372,-0.08937327114934068,372.65714372907365,377.99637442864486,367.31791302950245,5.017521228137789
2024-01-04,365.2090148925781,367.94000244140625,373.1000061035156,367.1700134277344,370.6700134277344,20901500,,372.7464667442834,40.289967279598145,-0.6874865405301307,-0.3065762782711891,-0.3809102622589416,372.34266764322916,378.0351939040341,366.65014138242424,5.139184087823584
2024-01-05,365.0203857421875,367.75,372.05999755859375,366.5,368.9700012207031,20987000,,372.27061276863736,53.66050669396782,-0.9978294900534479,-0.4448269206276409,-0.553002569425807,372.05562591552734,378.01529709506804,366.09595473598665,5.1952925505929395
2024-01-08,371.9089050292969,374.69000244140625,375.2000122070313,369.010009765625,369.2999877929687,23134000,,372.50103083271057,57.333309220706234,-0.6759859709632678,-0.4910587306947663,-0.18492724026850155,372.21058924057905,378.1208136454799,366.3003648356782,5.495921838118055
2024-01-09,373.000732421875,375.7900085449219,375.989990234375,371.19000244140625,372.010009765625,20830000,,372.8142668053021,55.99695990525347,-0.32837604921940056,-0.45852219439969316,0.1301461451802926,372.4094458685981,378.38633196260895,366.4325597745872,5.403130632098148
2024-01-10,379.9289245605469,382.7699890136719,384.1700134277344,376.3200073242187,376.3699951171875,25514200,,373.76243082514685,64.60825483616611,0.5045176425226146,-0.26591422701523165,0.7704318695378463,372.9547376130757,380.46051016172026,365.4489650644311,5.800047198860062
2024-01-11,381.775146484375,384.6300048828125,390.6799926757813,380.3800048828125,386.0,27850800,373.5385009765625,374.7974378782579,72.04910474141235,1.2996975256989458,0.04720812352760386,1.252489402171342,373.5385009765625,382.518139575699,364.55886237742595,6.400039278074561
2024-01-12,385.5866394042969,388.4700012207031,388.6799926757813,384.6499938964844,385.489990234375,21645700,374.2435012817383,376.09958676801455,72.83571667292134,2.2142148340511767,0.4806094656323185,1.7336053684188582,374.2435012817383,385.43869647236085,363.04830609111576,6.086699080060461
2024-01-16,387.3732299804687,390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,27202300,375.4605010986328,377.4491488866486,73.45290988878642,3.049072551042002,0.9943020827142554,2.054770468327747,375.4605010986328,388.0549108070017,362.8660913902639,6.129806357666983
2024-01-17,386.5791931152344,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100,376.3975006103516,378.59399196608234,71.67106374845707,3.6045993993759,1.5163615460465842,2.0882378533293156,376.3975006103516,390.2369574433511,362.55804377735205,6.040497703988469
2024-01-18,390.9465637207031,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100,377.45850067138673,380.04884940904475,76.06634804520272,4.3497598403897655,2.0830412049152205,2.266718635474545,377.45850067138673,393.2098583133557,361.70714302941775,5.837763211946256
2024-01-19,395.7109375,398.6700134277344,398.6700134277344,393.5,395.760009765625,29272000,378.7290008544922,381.8222936013009,78.1332818467059,5.266912531593675,2.7198154702509116,2.5470970613427637,378.7290008544922,396.95863291565934,360.49936879332506,5.748729907384672
